village,month,house,place,method,hour,species,Abdomenstatus,ParRate,id
kimi,1_juin,2,Outdoor,CSH,22,Ag,Aj,1,kimi1_juin2OutdoorCSH22AgAj
kimi,1_juin,3,Indoor,CSH,22,Ag,Aj,NA,kimi1_juin3IndoorCSH22AgAj
kimi,1_juin,3,Indoor,CSH,22,Ag,Aj,0,kimi1_juin3IndoorCSH22AgAj
kimi,1_juin,3,Indoor,CSH,23,Ag,Aj,1,kimi1_juin3IndoorCSH23AgAj
kimi,1_juin,3,Indoor,CSH,0,Ag,Aj,NA,kimi1_juin3IndoorCSH0AgAj
kimi,1_juin,3,Indoor,CSH,1,Ag,Aj,0,kimi1_juin3IndoorCSH1AgAj
kimi,1_juin,3,Indoor,CSH,2,Ag,Aj,NA,kimi1_juin3IndoorCSH2AgAj
kimi,1_juin,4,Indoor,CSH,0,Ag,Aj,NA,kimi1_juin4IndoorCSH0AgAj
kimi,1_juin,4,Outdoor,CSH,2,Ag,Aj,NA,kimi1_juin4OutdoorCSH2AgAj
kimi,1_juin,4,Outdoor,CSH,4,Ag,Aj,1,kimi1_juin4OutdoorCSH4AgAj
kimi,1_juin,1,Indoor,CSH,3,Ag,Aj,NA,kimi1_juin1IndoorCSH3AgAj
kimi,1_juin,4,Outdoor,CSH,21,Ag,Aj,NA,kimi1_juin4OutdoorCSH21AgAj
kimi,1_juin,2,Indoor,CSH,23,Ag,Aj,1,kimi1_juin2IndoorCSH23AgAj
kimi,1_juin,2,Outdoor,CSH,23,Ag,Aj,1,kimi1_juin2OutdoorCSH23AgAj
kimi,1_juin,2,Outdoor,CSH,0,Ag,Aj,0,kimi1_juin2OutdoorCSH0AgAj
kimi,1_juin,3,Outdoor,CSH,1,Ag,Aj,NA,kimi1_juin3OutdoorCSH1AgAj
kimi,1_juin,4,Outdoor,CSH,0,Ag,Aj,NA,kimi1_juin4OutdoorCSH0AgAj
kimi,1_juin,2,Outdoor,CSH,23,Ag,Aj,NA,kimi1_juin2OutdoorCSH23AgAj
kimi,1_juin,2,Outdoor,CSH,21,Ag,Aj,NA,kimi1_juin2OutdoorCSH21AgAj
kimi,1_juin,3,Indoor,CSH,1,Ag,Aj,1,kimi1_juin3IndoorCSH1AgAj
kimi,1_juin,4,Indoor,CSH,3,Ag,Aj,1,kimi1_juin4IndoorCSH3AgAj
