village,month,method,method3,method2,place,hour,house,genus,species,Abdomen_status,number,Anopheles,id
Kimidougou,Mai,OK,CSH,CSH,indoor,2,1,Anopheles,Angambiaesl,NA,2,ano,Kimi2_juinindoor21AnophelesAngambiaesl
Kimidougou,Mai,OK,CSH,CSH,indoor,2,1,Anopheles,Angambiaesl,NA,2,ano,Kimi2_juinindoor21AnophelesAngambiaesl
Kimidougou,Mai,OK,CSH,CSH,indoor,3,1,Anopheles,Angambiaesl,NA,2,ano,Kimi2_juinindoor31AnophelesAngambiaesl
Kimidougou,Mai,OK,CSH,CSH,indoor,3,1,Anopheles,Angambiaesl,NA,2,ano,Kimi2_juinindoor31AnophelesAngambiaesl
Kimidougou,Mai,OK,CSH,CSH,outdoor,21,1,Anopheles,Angambiaesl,NA,1,ano,Kimi2_juinoutdoor211AnophelesAngambiaesl
Kimidougou,Mai,OK,CSH,CSH,indoor,23,2,Anopheles,Angambiaesl,NA,2,ano,Kimi2_juinindoor232AnophelesAngambiaesl
Kimidougou,Mai,OK,CSH,CSH,indoor,23,2,Anopheles,Angambiaesl,NA,2,ano,Kimi2_juinindoor232AnophelesAngambiaesl
Santidougou,Mai,OK,CSH,CSH,indoor,2,1,Anopheles,Angambiaesl,NA,2,ano,Kimi2_juinindoor21AnophelesAngambiaesl
Santidougou,Mai,OK,CSH,CSH,indoor,2,1,Anopheles,Angambiaesl,NA,2,ano,Kimi2_juinindoor21AnophelesAngambiaesl
Santidougou,Mai,OK,CSH,CSH,indoor,3,1,Anopheles,Angambiaesl,NA,2,ano,Kimi2_juinindoor31AnophelesAngambiaesl
Santidougou,Mai,OK,CSH,CSH,indoor,3,1,Anopheles,Angambiaesl,NA,2,ano,Kimi2_juinindoor31AnophelesAngambiaesl
Santidougou,Mai,OK,CSH,CSH,outdoor,21,1,Anopheles,Angambiaesl,NA,1,ano,Kimi2_juinoutdoor211AnophelesAngambiaesl
Santidougou,Mai,OK,CSH,CSH,indoor,23,2,Anopheles,Angambiaesl,NA,2,ano,Kimi2_juinindoor232AnophelesAngambiaesl
Santidougou,Mai,OK,CSH,CSH,indoor,23,2,Anopheles,Angambiaesl,NA,2,ano,Kimi2_juinindoor232AnophelesAngambiaesl
Santidougou,Mai,OK,CSH,CSH,indoor,2,1,Anopheles,Angambiaesl,NA,2,ano,Kimi2_juinindoor21AnophelesAngambiaesl
Santidougou,Mai,OK,CSH,CSH,indoor,3,1,Anopheles,Angambiaesl,NA,2,ano,Kimi2_juinindoor31AnophelesAngambiaesl
Santidougou,Mai,OK,CSH,CSH,indoor,3,1,Anopheles,Angambiaesl,NA,2,ano,Kimi2_juinindoor31AnophelesAngambiaesl
Santidougou,Mai,OK,CSH,CSH,outdoor,21,1,Anopheles,Angambiaesl,NA,1,ano,Kimi2_juinoutdoor211AnophelesAngambiaesl
Santidougou,Mai,OK,CSH,CSH,indoor,23,2,Anopheles,Angambiaesl,NA,2,ano,Kimi2_juinindoor232AnophelesAngambiaesl
Santidougou,Mai,OK,CSH,CSH,indoor,23,2,Anopheles,Angambiaesl,NA,2,ano,Kimi2_juinindoor232AnophelesAngambiaesl
Kimidougou,Juin,OK,CSH,CSH,indoor,2,1,Anopheles,Angambiaesl,NA,2,ano,Kimi2_juinindoor21AnophelesAngambiaesl
Kimidougou,Juin,OK,CSH,CSH,indoor,2,1,Anopheles,Angambiaesl,NA,2,ano,Kimi2_juinindoor21AnophelesAngambiaesl
Kimidougou,Juin,OK,CSH,CSH,indoor,3,1,Anopheles,Angambiaesl,NA,2,ano,Kimi2_juinindoor31AnophelesAngambiaesl
Kimidougou,Juin,OK,CSH,CSH,indoor,3,1,Anopheles,Angambiaesl,NA,2,ano,Kimi2_juinindoor31AnophelesAngambiaesl
Kimidougou,Juin,OK,CSH,CSH,outdoor,21,1,Anopheles,Angambiaesl,NA,1,ano,Kimi2_juinoutdoor211AnophelesAngambiaesl
Kimidougou,Juin,OK,CSH,CSH,indoor,23,2,Anopheles,Angambiaesl,NA,2,ano,Kimi2_juinindoor232AnophelesAngambiaesl
Kimidougou,Juin,OK,CSH,CSH,indoor,23,2,Anopheles,Angambiaesl,NA,2,ano,Kimi2_juinindoor232AnophelesAngambiaesl
Kimidougou,Juin,OK,CSH,CSH,indoor,0,2,Anopheles,Angambiaesl,NA,1,ano,Kimi2_juinindoor02AnophelesAngambiaesl
Kimidougou,Juin,OK,CSH,CSH,indoor,23,2,Anopheles,Angambiaesl,NA,1,ano,Kimi2_juinindoor232AnophelesAngambiaesl
Kimidougou,Juin,OK,CSH,CSH,indoor,2,2,Anopheles,Angambiaesl,NA,1,ano,Kimi2_juinindoor22AnophelesAngambiaesl
Kimidougou,Juin,OK,CSH,CSH,indoor,21,2,Anopheles,Angambiaesl,NA,1,ano,Kimi2_juinindoor212AnophelesAngambiaesl
Kimidougou,Juin,OK,CSH,CSH,indoor,1,2,Anopheles,Angambiaesl,NA,1,ano,Kimi2_juinindoor12AnophelesAngambiaesl
Kimidougou,Juin,OK,CSH,CSH,outdoor,22,2,Anopheles,Angambiaesl,NA,1,ano,Kimi2_juinoutdoor222AnophelesAngambiaesl
Kimidougou,Juin,OK,CSH,CSH,outdoor,2,2,Anopheles,Angambiaesl,NA,1,ano,Kimi2_juinoutdoor22AnophelesAngambiaesl
Kimidougou,Juin,OK,CSH,CSH,outdoor,23,2,Anopheles,Angambiaesl,NA,2,ano,Kimi2_juinoutdoor232AnophelesAngambiaesl
Kimidougou,Juin,OK,CSH,CSH,outdoor,23,2,Anopheles,Angambiaesl,NA,2,ano,Kimi2_juinoutdoor232AnophelesAngambiaesl
Kimidougou,Juin,OK,CSH,CSH,outdoor,0,2,Anopheles,Angambiaesl,NA,1,ano,Kimi2_juinoutdoor02AnophelesAngambiaesl
Kimidougou,Juin,OK,CSH,CSH,outdoor,21,2,Anopheles,Angambiaesl,NA,1,ano,Kimi2_juinoutdoor212AnophelesAngambiaesl
Kimidougou,Juin,OK,CSH,CSH,indoor,22,3,Anopheles,Angambiaesl,NA,4,ano,Kimi2_juinindoor223AnophelesAngambiaesl
